4,37171922
8,2882735
10,10000
12,42228415
16,55461
20,77008
24,30809787
28,96282
31,9949537
32,44361150
36,24898153
40,8891383
44,385635
48,1569440
50,161376713
51,2951741
52,286640
56,11482180
60,62763
64,754396
68,10000
70,3323929
72,2254067
74,10000
76,209469320
84,383071
86,10000
90,652856
92,10000
96,10000
100,7051610
104,53708318
108,11175379
112,9452615
116,16249795
120,25216261
124,37074558
132,10000
136,64172
140,4666375
144,21228760
148,15477727
152,18729166
156,1427647789
158,10000
162,10000
166,10000
170,49661056
174,832322
175,259526
178,5244363
180,10000
184,17519
188,4999443
191,4156407
192,11338146
196,1189262
203,10665679
204,11485035
208,5752131
212,71626
214,10627147
218,17084359
222,6420740
226,1308966
231,109224410
232,3452797
233,1322913
234,10000
238,10000
239,10000
242,883490
246,5522585
248,10000
250,64990512
254,282936
258,277673
260,10000
262,958923
266,2119275
268,4002946
270,2280092
275,10000
276,83124413
288,29767108
292,33715
296,115842
300,10522244
304,56565
308,111449
312,399848
316,165770
320,17247855
324,12414292
328,779007
332,11123183
334,10000
336,10000
340,9587523
344,7371728
348,9707502
352,336712
356,1352642283
360,267670549
364,10000
368,38433604
372,4818694
376,8381507
380,60627291
384,10000
388,2934853
392,127202190
398,18319616
400,9965322
404,51392570
408,10000
410,10000
414,4137314
417,6304025
418,10000
422,6859408
426,2108327
428,1928461
430,4818976
434,6678565
438,37918
440,2801270
442,604244
446,631633
450,26262313
454,18143215
458,31528033
462,515703
466,19077755
470,439255
474,375672
478,4403312
480,1267184
484,126190782
492,38682
496,3170214
498,10000
499,627803
500,4993
504,36029089
508,29496009
512,4829476
516,2448300
520,10678
524,28095712
528,17059560
531,10000
533,105846
534,41936
535,10000
540,279986
548,292675
554,4743131
558,6465502
562,22442831
566,195874685
570,1610
574,10000
578,5337960
580,56889
581,10000
583,10000
584,58412
585,17911
586,212228288
591,4176868
598,8606324
600,6956069
604,31989265
608,106651394
612,10000
616,37921585
620,10256192
624,1874304
626,10000
630,3039598
634,2781682
638,10000
642,19506110
643,10000
646,12301969
652,10000
654,10000
659,52438
660,14738
662,181890
663,37264
666,5845
670,110210
674,33784
678,211032
682,33702757
686,15854324
688,8802741
690,97094
694,7650149
702,5757503
703,5453017
704,10000
705,2077835
706,15008225
710,57792520
716,14438812
724,46692863
728,10975924
729,41801532
732,567396
740,575987
744,10000
748,1136274
752,9971630
756,8525614
760,10000
762,9100847
764,69428454
768,7889095
772,1318
776,103199
780,1389841
784,9630966
788,11565203
792,82340090
795,5850902
796,37667
798,11505
800,42729032
804,44246158
807,2082956
818,98423602
826,10000
831,10000
832,10000
833,84073
834,10000
840,10000
850,10000
854,19751466
858,3449290
860,32476232
862,10000
876,11653
882,196128
887,28498683
894,17351714
